SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,TIMEZONE,ETA_OFFSET,SPEED,ETA_UPDATED,DISTANCE_TO_GO,PORT_ID,CURRENT_PORT,CTA_ROUTE_FORECAST
558701,9485019,630001242,J5BB6,OCEAN PRIME,8,1785644064,GW,GUINEA BISSAU,3,,,,1784732400,FOR ORDERS,,Tanker,124,55.073193,25.603544,4.0,,0.0,,0,,,false
465179,9013426,671403100,5VIV3,CABRI,8,1785644134,TG,TOGO,104,PORT RASHID,AE,104,,DMC,,Tanker,145,50.571968,28.293024,3.0,,6.8,2026-08-02 03:53:00,296,,,true
730723,9284386,538009510,V7A4829,MKD VYOM,8,1785644172,MH,MARSHALL ISLANDS,25,RAS TANURA,SA,1665,1772467200,SA RTA,,Tanker,286,56.614094,24.765394,4.0,3,0.1,,0,,,false
714233,9645786,538005118,V7BD2,VELOS TURQUOISE,8,1785525854,MH,MARSHALL ISLANDS,48,MINA ABD ALLAH,KW,22462,1785531600,KW MIB,KW,Tanker,284,48.476509,28.966431,3.0,3,10.1,,0,22463,SHUAIBA ANCH,false
348688,9035826,620999062,D6A3068,SAMA 2,8,1782499611,KM,COMOROS,101,SHINAS,OM,18580,1782561600,SHINAS,,Tanker,296,58.704147,23.749599,4.0,4,10.8,,0,,,false
421601,9172636,631656710,3CAN22,SOLIX,8,1785635765,GQ,EQUATORIAL GUINEA,9,SHARJAH,AE,103,1783605600,SHARJAH,,Tanker,306,55.249962,25.999943,4.0,4,6.4,,0,,,false
3745561,9733806,403580000,HZMH,DALIL,8,1785644047,SA,SAUDI ARABIA,18,KHOR FAKKAN,AE,18560,1785348000,AE KLF,AE,Tanker,292,56.594646,25.377977,4.0,4,0.1,,0,20586,KHOR FAKKAN ANCH,false
655041,9052331,632001092,3X2067,XAVIA,8,1785644120,GN,GUINEA,3,SOHAR,OM,18567,1784503800,SOHAR-OMAN,OM,Tanker,46,56.666046,24.731846,4.0,4,0.1,,0,22481,SOHAR ANCH,false
4914705,9731169,538008718,V7A2687,OLYMPIC LADY,8,1783462363,MH,MARSHALL ISLANDS,10,FUJAIRAH,AE,790,1783395000,AEFJR,AE,Tanker,304,57.430767,24.925705,4.0,4,13.3,,0,20585,FUJAIRAH ANCH,false
716024,9407263,538007910,V7MT9,SEA DOMINATOR,8,1785644063,MH,MARSHALL ISLANDS,51,SHINAS,OM,18580,1785459600,OMSHI,OM,Tanker,197,56.552582,24.74411,4.0,4,0.1,,0,26490,SHINAS ANCH,false
